,DGP 1,,,,DGP 2,,,
Library,Blip only,,,Full,Blip only,,,Full
Metalearner,blip-based,,vote-based,,blip-based,,vote-based,
Risk,MSE,Eyd,Eyd,Eyd,MSE,Eyd,Eyd,Eyd
blip_SL.glm,0.0819,0.0887,0.086,0.0379,0.0528,0.0936,0.0686,0.0397
blip_SL.mean,0.2871,0.1328,0.0922,0.0478,0.1322,0.1144,0.0825,0.042
blip_SL.glm.interaction,0.1533,0.1313,0.1284,0.0692,0.0342,0.0769,0.064,0.0385
blip_SL.earth,0.1658,0.2337,0.215,0.1562,0.2729,0.2693,0.2789,0.1744
blip_SL.nnet,0.1397,0.1107,0.1259,0.0584,0.1074,0.0995,0.1135,0.0608
blip_SL.svm,0.0908,0.1736,0.209,0.1392,0.1997,0.1734,0.1579,0.0947
blip_SL.rpart,0.0814,0.1291,0.1434,0.0692,0.2007,0.1729,0.2346,0.1396
Qlearn,,,,0.0559,,,,0.05
OWL,,,,0.0491,,,,0.0639
EARL,,,,0.0508,,,,0.0404
optclass,,,,0.0819,,,,0.0889
RWL,,,,0.0407,,,,0.0377
Treat all,,,,0.0481,,,,0.0697